 CONF#         G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                 [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF295       -64.672025          ---           -1981.447748       -0.016845        ---         -1981.464593          4.07                0.01         
CONF303       -64.671982          ---           -1981.452552       -0.016379        ---         -1981.468931          1.35                0.61         
CONF307       -64.671966          ---           -1981.447563       -0.014610        ---         -1981.462174          5.59                0.00         
CONF318       -64.671835          ---           -1981.452327       -0.017036        ---         -1981.469363          1.08                0.97         
CONF321       -64.671776          ---           -1981.449397       -0.014291        ---         -1981.463688          4.64                0.00         
CONF324       -64.671733          ---           -1981.452968       -0.016864        ---         -1981.469832          0.78                1.59         
CONF326       -64.671699          ---           -1981.451152       -0.013496        ---         -1981.464648          4.04                0.01         
CONF329       -64.671675          ---           -1981.448539       -0.016070        ---         -1981.464608          4.06                0.01         
CONF339       -64.671568          ---           -1981.447516       -0.015081        ---         -1981.462597          5.32                0.00         
CONF343       -64.671557          ---           -1981.453052       -0.015700        ---         -1981.468752          1.46                0.51         
CONF345       -64.671543          ---           -1981.455651       -0.013292        ---         -1981.468943          1.34                0.62         
CONF346       -64.671539          ---           -1981.457719       -0.013363        ---         -1981.471081          0.00                5.99         
CONF348       -64.671482          ---           -1981.450741       -0.014978        ---         -1981.465720          3.36                0.02         
CONF349       -64.671479          ---           -1981.448207       -0.016796        ---         -1981.465003          3.81                0.01         
CONF350       -64.671471          ---           -1981.452260       -0.017638        ---         -1981.469898          0.74                1.71         
CONF351       -64.671464          ---           -1981.452342       -0.017673        ---         -1981.470015          0.67                1.93         
CONF353       -64.671458          ---           -1981.455785       -0.013315        ---         -1981.469100          1.24                0.73         
CONF355       -64.671443          ---           -1981.447804       -0.015651        ---         -1981.463454          4.79                0.00         
CONF358       -64.671413          ---           -1981.452118       -0.013826        ---         -1981.465944          3.22                0.03         
CONF359       -64.671410          ---           -1981.452110       -0.013780        ---         -1981.465891          3.26                0.02         
CONF360       -64.671380          ---           -1981.452917       -0.016267        ---         -1981.469185          1.19                0.80         
CONF368       -64.671312          ---           -1981.453484       -0.017317        ---         -1981.470800          0.18                4.44         
CONF371       -64.671283          ---           -1981.447234       -0.016439        ---         -1981.463672          4.65                0.00         
CONF372       -64.671283          ---           -1981.453111       -0.017612        ---         -1981.470723          0.23                4.09         
CONF376       -64.671209          ---           -1981.454755       -0.014402        ---         -1981.469157          1.21                0.78         
CONF377       -64.671205          ---           -1981.451276       -0.017978        ---         -1981.469254          1.15                0.86         
CONF380       -64.671184          ---           -1981.454919       -0.013530        ---         -1981.468449          1.65                0.37         
CONF381       -64.671183          ---           -1981.454848       -0.013478        ---         -1981.468326          1.73                0.32         
CONF382       -64.671183          ---           -1981.455007       -0.013572        ---         -1981.468579          1.57                0.42         
CONF383       -64.671174          ---           -1981.453940       -0.014842        ---         -1981.468782          1.44                0.52         
CONF386       -64.671138          ---           -1981.454371       -0.013796        ---         -1981.468167          1.83                0.27         
CONF388       -64.671134          ---           -1981.455623       -0.014552        ---         -1981.470175          0.57                2.29         
CONF389       -64.671120          ---           -1981.453496       -0.015570        ---         -1981.469066          1.26                0.71         
CONF396       -64.671077          ---           -1981.455574       -0.014639        ---         -1981.470213          0.54                2.39         
CONF398       -64.671064          ---           -1981.452662       -0.015547        ---         -1981.468208          1.80                0.29         
CONF399       -64.671052          ---           -1981.453001       -0.013136        ---         -1981.466137          3.10                0.03         
CONF401       -64.671048          ---           -1981.452503       -0.015771        ---         -1981.468274          1.76                0.31         
CONF402       -64.671045          ---           -1981.447741       -0.017411        ---         -1981.465152          3.72                0.01         
CONF410       -64.670887          ---           -1981.452159       -0.014785        ---         -1981.466944          2.60                0.07         
CONF413       -64.670848          ---           -1981.447741       -0.016464        ---         -1981.464205          4.32                0.00         
CONF416       -64.670830          ---           -1981.450648       -0.016355        ---         -1981.467003          2.56                0.08         
CONF418       -64.670819          ---           -1981.447167       -0.016245        ---         -1981.463412          4.81                0.00         
CONF428       -64.670749          ---           -1981.446931       -0.016138        ---         -1981.463069          5.03                0.00         
CONF434       -64.670688          ---           -1981.449082       -0.014702        ---         -1981.463784          4.58                0.00         
CONF437       -64.670654          ---           -1981.455556       -0.015229        ---         -1981.470784          0.19                4.37         
CONF447       -64.670554          ---           -1981.451709       -0.015997        ---         -1981.467707          2.12                0.17         
CONF448       -64.670539          ---           -1981.448901       -0.014812        ---         -1981.463714          4.62                0.00         
CONF449       -64.670536          ---           -1981.451812       -0.014291        ---         -1981.466103          3.12                0.03         
CONF454       -64.670519          ---           -1981.454329       -0.014517        ---         -1981.468846          1.40                0.56         
CONF458       -64.670482          ---           -1981.450616       -0.016583        ---         -1981.467198          2.44                0.10         
CONF463       -64.670446          ---           -1981.447836       -0.017055        ---         -1981.464891          3.88                0.01         
CONF471       -64.670399          ---           -1981.454126       -0.014451        ---         -1981.468577          1.57                0.42         
CONF475       -64.670352          ---           -1981.452572       -0.014114        ---         -1981.466686          2.76                0.06         
CONF479       -64.670308          ---           -1981.452821       -0.013172        ---         -1981.465993          3.19                0.03         
CONF481       -64.670241          ---           -1981.452645       -0.013935        ---         -1981.466580          2.82                0.05         
CONF484       -64.670223          ---           -1981.452261       -0.015780        ---         -1981.468041          1.91                0.24         
CONF485       -64.670207          ---           -1981.452703       -0.014392        ---         -1981.467095          2.50                0.09         
CONF486       -64.670199          ---           -1981.452924       -0.014473        ---         -1981.467396          2.31                0.12         
CONF489       -64.670165          ---           -1981.448001       -0.015682        ---         -1981.463683          4.64                0.00         
CONF494       -64.670124          ---           -1981.454273       -0.013229        ---         -1981.467502          2.25                0.14         
