 CONF#          G (xTB)          ΔG (xTB)          E (DFT)           ΔGsolv         GmRRHO           Gtot             ΔGtot          Boltzmann weight   
                  [Eh]          [kcal/mol]           [Eh]             [Eh]           [Eh]            [Eh]           [kcal/mol]        % at 298.15 K     
CONF444        -65.027218          ---           -2932.458431       -0.007847        ---         -2932.466277          7.09                0.00         
CONF446        -65.027214          ---           -2932.458347       -0.007745        ---         -2932.466092          7.20                0.00         
CONF448        -65.027205          ---           -2932.464625       -0.009735        ---         -2932.474360          2.02                0.52         
CONF461        -65.027140          ---           -2932.459880       -0.008127        ---         -2932.468007          6.00                0.00         
CONF465        -65.027129          ---           -2932.459291       -0.006709        ---         -2932.466000          7.26                0.00         
CONF467        -65.027110          ---           -2932.462805       -0.009133        ---         -2932.471938          3.54                0.04         
CONF468        -65.027110          ---           -2932.458436       -0.008712        ---         -2932.467149          6.54                0.00         
CONF469        -65.027105          ---           -2932.461338       -0.008611        ---         -2932.469948          4.78                0.00         
CONF470        -65.027101          ---           -2932.460333       -0.007921        ---         -2932.468254          5.85                0.00         
CONF474        -65.027074          ---           -2932.458939       -0.007903        ---         -2932.466843          6.73                0.00         
CONF475        -65.027064          ---           -2932.461222       -0.008611        ---         -2932.469833          4.86                0.00         
CONF485        -65.027011          ---           -2932.459093       -0.007601        ---         -2932.466694          6.83                0.00         
CONF491        -65.026974          ---           -2932.457880       -0.008702        ---         -2932.466583          6.90                0.00         
CONF492        -65.026990          ---           -2932.461490       -0.008806        ---         -2932.470297          4.57                0.01         
CONF505        -65.026975          ---           -2932.457899       -0.008705        ---         -2932.466604          6.88                0.00         
CONF511        -65.026912          ---           -2932.461435       -0.010113        ---         -2932.471548          3.78                0.03         
CONF514        -65.026903          ---           -2932.462674       -0.009808        ---         -2932.472482          3.19                0.07         
CONF518        -65.026893          ---           -2932.462674       -0.009768        ---         -2932.472442          3.22                0.07         
CONF522        -65.026886          ---           -2932.462033       -0.010978        ---         -2932.473012          2.86                0.12         
CONF525        -65.026878          ---           -2932.456539       -0.009652        ---         -2932.466191          7.14                0.00         
CONF526        -65.026880          ---           -2932.464567       -0.005739        ---         -2932.470305          4.56                0.01         
CONF529        -65.026867          ---           -2932.461100       -0.008302        ---         -2932.469401          5.13                0.00         
CONF530        -65.026865          ---           -2932.457739       -0.011815        ---         -2932.469553          5.03                0.00         
CONF538        -65.026844          ---           -2932.458721       -0.011667        ---         -2932.470388          4.51                0.01         
CONF542        -65.026819          ---           -2932.463655       -0.008096        ---         -2932.471751          3.65                0.03         
CONF544        -65.026810          ---           -2932.461992       -0.008260        ---         -2932.470252          4.59                0.01         
CONF545        -65.026804          ---           -2932.464048       -0.008140        ---         -2932.472188          3.38                0.05         
CONF546        -65.026792          ---           -2932.460708       -0.007958        ---         -2932.468666          5.59                0.00         
